entity, total
1,Binance,248597.5366782
2,Bitfinex,157975.41329718
3,Robinhood,153166.45956082
4,Kraken,118005.55388981997
5,US Gov - Bitfinex Seizure,94643.48479978
6,Tether,83758.57674912
7,US Gov - Silk Road Seizure,69370.18110529
8,Mr 100,55108.31827625
9,Coincheck,41555.56569307
10,OKEx,31750.965084900003
11,Revolut,26156.469859020002
12,River,18967.89992882
13,MARA,18216.515315829998
14,Gate.io,10675.840776559999
15,Clean Spark,9907.42033075
16,Bhutan,9590.94094345
17,Huobi,9010.60651387
18,El Salvador,6091.18315128
19,Swissborg,5502.54148189
20,Poloniex,4288.19896867
21,Burn,2815.20147231
22,Genesis,100.34236759
23,Germany,0.00650284
